articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
6-1-2015_PS,1,1,df,0,MATCH,NA
6-1-2015_PS,9,9,df,0,MATCH,NA
6-1-2015_PS,6.818,6.818,F,0,MATCH,NA
6-1-2015_PS,0.028,0.028,p,0,MATCH,NA
6-1-2015_PS,9,9,df,0,MATCH,NA
6-1-2015_PS,7.23,7.23,t,0,MATCH,NA
6-1-2015_PS,9,9,df,0,MATCH,NA
6-1-2015_PS,9.19,9.2,t,0.10881392818280508,MINOR_ERROR,NA
6-1-2015_PS,9,9,df,0,MATCH,NA
6-1-2015_PS,4.29,4.3,t,0.23310023310022812,MINOR_ERROR,NA
6-1-2015_PS,0.002,0.002,p,0,MATCH,NA
6-1-2015_PS,9,9,df,0,MATCH,NA
6-1-2015_PS,4.79,4.8,t,0.2087682672233776,MINOR_ERROR,NA
6-1-2015_PS,0.001,0.001,p,0,MATCH,NA
